year,forest_type,NDVI_mean,NDVI_median,FVC_mean,FVC_median,FVC_std,NIRv_mean,NIRv_median,NIRv_std,valid_pixel_count,valid_area_km2
2000,all_forest,0.716276,0.753941,0.600401,0.683608,0.28626,0.206483,0.212899,0.059967,29068501,26161.6509
2000,natural_forest,0.753803,0.793063,0.692421,0.785193,0.251516,0.22017,0.224617,0.057803,16333984,14700.5856
2000,plantation_forest,0.668141,0.691414,0.482366,0.519542,0.284807,0.188926,0.193364,0.058088,12734517,11461.0653
2001,all_forest,0.712942,0.746119,0.592163,0.667971,0.298717,0.19895,0.201179,0.059556,29068529,26161.6761
2001,natural_forest,0.75254,0.793065,0.688895,0.793014,0.26892,0.212381,0.216799,0.057967,16334012,14700.6108
2001,plantation_forest,0.66215,0.683596,0.468082,0.496098,0.28901,0.181723,0.181641,0.057078,12734517,11461.0653
2002,all_forest,0.708463,0.73831,0.580085,0.652348,0.295849,0.200671,0.201173,0.059126,29068538,26161.6842
2002,natural_forest,0.747517,0.785259,0.675649,0.777378,0.261825,0.213307,0.216798,0.055967,16334021,14700.6189
2002,plantation_forest,0.658369,0.675782,0.457503,0.472646,0.291758,0.184462,0.182615,0.059113,12734517,11461.0653
2003,all_forest,0.664812,0.699234,0.482781,0.535157,0.325731,0.179174,0.181647,0.063028,29067404,26160.6636
2003,natural_forest,0.714516,0.769621,0.599597,0.722676,0.308885,0.196864,0.204104,0.061556,16332888,14699.5992
2003,plantation_forest,0.60106,0.613275,0.332949,0.300779,0.282603,0.156484,0.15332,0.057371,12734516,11461.0644
2004,all_forest,0.68829,0.714855,0.530596,0.589841,0.317317,0.188029,0.18946,0.05922,29068534,26161.6806
2004,natural_forest,0.729181,0.777432,0.631475,0.753946,0.301908,0.200397,0.206059,0.058468,16334017,14700.6153
2004,plantation_forest,0.635838,0.644528,0.401197,0.394528,0.288327,0.172165,0.168945,0.056324,12734517,11461.0653
2005,all_forest,0.643115,0.667978,0.429002,0.457038,0.297774,0.166033,0.16602,0.0546,29067273,26160.5457
2005,natural_forest,0.688504,0.722694,0.530818,0.605485,0.286297,0.178326,0.17774,0.053221,16332757,14699.4813
2005,plantation_forest,0.584897,0.597656,0.298411,0.277343,0.258686,0.150265,0.151368,0.052243,12734516,11461.0644
2006,all_forest,0.707179,0.738304,0.576583,0.63673,0.302061,0.205054,0.208988,0.059203,29068303,26161.4727
2006,natural_forest,0.747327,0.785233,0.675477,0.777366,0.27759,0.218187,0.220709,0.057357,16333786,14700.4074
2006,plantation_forest,0.655681,0.667969,0.449732,0.464841,0.284249,0.188208,0.189452,0.057232,12734517,11461.0653
2007,all_forest,0.686283,0.71486,0.526373,0.58204,0.301998,0.186862,0.189456,0.060442,29068499,26161.6491
2007,natural_forest,0.730438,0.761775,0.632154,0.714861,0.268813,0.201074,0.201171,0.056928,16333982,14700.5838
2007,plantation_forest,0.629645,0.644539,0.390687,0.386717,0.287639,0.168631,0.166011,0.059921,12734517,11461.0653
2008,all_forest,0.709901,0.738308,0.582174,0.652363,0.285859,0.202554,0.205081,0.058567,29068372,26161.5348
2008,natural_forest,0.747646,0.785225,0.675558,0.76174,0.253215,0.21506,0.216803,0.056012,16333855,14700.4695
2008,plantation_forest,0.661484,0.675787,0.46239,0.48047,0.280625,0.186514,0.185548,0.057858,12734517,11461.0653
2009,all_forest,0.73612,0.769574,0.646929,0.722671,0.274972,0.212886,0.216804,0.057862,29066606,26159.9454
