year,index_name,asset_id,export_description,export_status,scale,crs,notes
2000,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2000,NDVI_2000,submitted,30,EPSG:4326,Submitted task ID: MFEBCH344HRERMLCIRCVLIYL
2000,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2000,FVC_2000,submitted,30,EPSG:4326,Submitted task ID: AQUEET7OI6Z7ZK3TUQBSABMY
2000,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2000,NIRv_2000,submitted,30,EPSG:4326,Submitted task ID: ERMVESB23UU4XBUGQ2J2YVIF
2001,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2001,NDVI_2001,submitted,30,EPSG:4326,Submitted task ID: 4U56LAV7BHT2UAZGS3HWF7PW
2001,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2001,FVC_2001,submitted,30,EPSG:4326,Submitted task ID: EUULDMGL3HU36MNZASQAF4KL
2001,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2001,NIRv_2001,submitted,30,EPSG:4326,Submitted task ID: RVE4Q4UQ6PYBICTKU2RPKOBC
2002,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2002,NDVI_2002,submitted,30,EPSG:4326,Submitted task ID: APFCFV36RAOPOHWKY72US4JR
2002,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2002,FVC_2002,submitted,30,EPSG:4326,Submitted task ID: IVVHAXSKZ4XXJ3CQHXOU3JNG
2002,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2002,NIRv_2002,submitted,30,EPSG:4326,Submitted task ID: DWGJPO4SRXQFXN7CCKZRLMUX
2003,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2003,NDVI_2003,submitted,30,EPSG:4326,Submitted task ID: 6CAJK4N2QZJLZWKWHDB45JMA
2003,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2003,FVC_2003,submitted,30,EPSG:4326,Submitted task ID: H6AFNH2M4MIU7JIWL5Y5DOID
2003,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2003,NIRv_2003,submitted,30,EPSG:4326,Submitted task ID: DNL2JIQXMVK3WNDE5ZMIWU5U
2004,NDVI,users/gyf/forest_csc_alphaearth/stage03_indices/NDVI_2004,NDVI_2004,submitted,30,EPSG:4326,Submitted task ID: XGDV5FHT62V6FDMLXQJXLON4
2004,FVC,users/gyf/forest_csc_alphaearth/stage03_indices/FVC_2004,FVC_2004,submitted,30,EPSG:4326,Submitted task ID: FTAUQPHUVWM5ACIC2372N753
2004,NIRv,users/gyf/forest_csc_alphaearth/stage03_indices/NIRv_2004,NIRv_2004,submitted,30,EPSG:4326,Submitted task ID: E2OHHDJXARYVJ6PLD5QSD3IP
